#x	j0		j1		j2		j3		j4		j5
0	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.1	0.997502	0.049938	0.001249	0.000021	0.000000	0.000000
0.2	0.990025	0.099501	0.004983	0.000166	0.000004	0.000000
0.3	0.977626	0.148319	0.011166	0.000559	0.000021	0.000001
0.4	0.960398	0.196027	0.019735	0.00132		0.000066	0.000003
0.5	0.93847		0.242268	0.030604	0.002564	0.000161	0.000008
0.6	0.912005	0.286701	0.043665	0.0044		0.000331	0.000020
0.7	0.881201	0.328996	0.058787	0.00693		0.00061		0.000043
0.8	0.846287	0.368842	0.075818	0.010247	0.001033	0.000083
0.9	0.807524	0.40595		0.094586	0.014434	0.001641	0.000149
1	0.765198	0.440051	0.114903	0.019563	0.002477	0.00025
1.1	0.719622	0.470902	0.136564	0.025695	0.003588	0.000399
1.2	0.671133	0.498289	0.159349	0.032874	0.005023	0.00061
1.3	0.620086	0.522023	0.183027	0.041136	0.006831	0.000901
1.4	0.566855	0.541948	0.207356	0.050498	0.009063	0.00129
1.5	0.511828	0.557937	0.232088	0.060964	0.011768	0.001799
1.6	0.455402	0.569896	0.256968	0.072523	0.014995	0.002452
1.7	0.397985	0.577765	0.281739	0.08515		0.01879		0.003275
1.8	0.339986	0.581517	0.306144	0.098802	0.023197	0.004294
1.9	0.281819	0.581157	0.329926	0.113423	0.028253	0.005538
2	0.223891	0.576725	0.352834	0.128943	0.033996	0.00704
2.1	0.166607	0.568292	0.374624	0.145277	0.040453	0.008828
2.2	0.110362	0.555963	0.395059	0.162325	0.047647	0.010937
2.3	0.05554		0.539873	0.413915	0.179979	0.055596	0.013397
2.4	0.002508	0.520185	0.43098		0.198115	0.064307	0.016242
2.5	-0.048384	0.497094	0.446059	0.2166		0.073782	0.019502
2.6	-0.096805	0.470818	0.458973	0.235294	0.084013	0.023207
2.7	-0.142449	0.441601	0.469562	0.254045	0.094984	0.027388
2.8	-0.185036	0.409709	0.477686	0.272699	0.106669	0.032069
2.9	-0.224312	0.375427	0.483227	0.291093	0.119033	0.037276
3	-0.260052	0.339059	0.486091	0.309063	0.132034	0.043028
3.1	-0.292064	0.300921	0.486207	0.326443	0.145618	0.049345
3.2	-0.320188	0.261343	0.483528	0.343066	0.159722	0.056238
3.3	-0.344296	0.220663	0.478032	0.358769	0.174275	0.063717
3.4	-0.364295	0.179226	0.469722	0.373389	0.189199	0.071785
3.5	-0.380128	0.137378	0.458629	0.38677		0.204405	0.080442
3.6	-0.391769	0.095466	0.444805	0.398763	0.219799	0.08968
3.7	-0.39923	0.053834	0.42833		0.409225	0.235279	0.099485
3.8	-0.402556	0.012821	0.409304	0.418026	0.250736	0.10984
3.9	-0.401826	-0.027244	0.387855	0.425044	0.266059	0.120718
4	-0.39715	-0.066043	0.364128	0.430171	0.281129	0.132087
4.1	-0.38867	-0.103273	0.338293	0.433315	0.295827	0.143908
4.2	-0.376557	-0.138647	0.310535	0.434394	0.310029	0.156136
4.3	-0.361011	-0.171897	0.281059	0.433347	0.323611	0.16872
4.4	-0.342257	-0.202776	0.250086	0.430127	0.33645		0.181601
4.5	-0.320542	-0.23106	0.217849	0.424704	0.348423	0.194715
4.6	-0.296138	-0.256553	0.184593	0.417069	0.359409	0.207991
4.7	-0.269331	-0.279081	0.150573	0.407228	0.369293	0.221355
4.8	-0.240425	-0.2985		0.11605		0.395208	0.37796		0.234725
4.9	-0.209738	-0.314695	0.081292	0.381055	0.385307	0.248017
5	-0.177597	-0.327579	0.046565	0.364831	0.391232	0.261141
5.1	-0.144335	-0.337097	0.01214		0.346618	0.395647	0.274004
5.2	-0.11029	-0.343223	-0.021718	0.326516	0.398468	0.286512
5.3	-0.075803	-0.345961	-0.054748	0.304641	0.399625	0.298567
5.4	-0.04121	-0.345345	-0.086695	0.281126	0.399058	0.31007
5.5	-0.006844	-0.341438	-0.117315	0.256118	0.396717	0.320925
5.6	0.026971	-0.334333	-0.146375	0.229779	0.392567	0.331031
5.7	0.05992		-0.324148	-0.173656	0.202284	0.386586	0.340293
5.8	0.091703	-0.311028	-0.198954	0.173818	0.378766	0.348617
5.9	0.122033	-0.295142	-0.222082	0.144579	0.369111	0.35591
6	0.150645	-0.276684	-0.242873	0.114768	0.357642	0.362087
6.1	0.177291	-0.255865	-0.261182	0.084598	0.344393	0.367065
6.2	0.201747	-0.232917	-0.276882	0.054283	0.329414	0.370767
6.3	0.223812	-0.208087	-0.289871	0.024042	0.312768	0.373124
6.4	0.243311	-0.181637	-0.300072	-0.005908	0.294534	0.374075
6.5	0.260095	-0.153841	-0.30743	-0.035347	0.274803	0.373565
6.6	0.274043	-0.12498	-0.311916	-0.06406	0.25368		0.371551
6.7	0.285065	-0.095342	-0.313525	-0.091837	0.231283	0.367996
6.8	0.293096	-0.065219	-0.312277	-0.118474	0.207742	0.362876
6.9	0.298102	-0.034902	-0.308218	-0.143775	0.183197	0.356177
7	0.300079	-0.004683	-0.301417	-0.167556	0.157798	0.347896
7.1	0.299051	0.025153	-0.291966	-0.189641	0.131706	0.338042
7.2	0.295071	0.054327	-0.27998	-0.209872	0.105087	0.326635
7.3	0.288217	0.08257		-0.265595	-0.228102	0.078114	0.313706
7.4	0.278596	0.109625	-0.248968	-0.244202	0.050966	0.2993
7.5	0.26634		0.135248	-0.230273	-0.258061	0.023825	0.283474
7.6	0.251602	0.159214	-0.209703	-0.269584	-0.003126	0.266293
7.7	0.234559	0.181313	-0.187465	-0.278697	-0.029702	0.247838
7.8	0.215408	0.201357	-0.163778	-0.285346	-0.055719	0.228198
7.9	0.194362	0.21918		-0.138873	-0.289495	-0.080996	0.207474
8	0.171651	0.234636	-0.112992	-0.291132	-0.105357	0.185775
8.1	0.147517	0.247608	-0.08638	-0.290264	-0.128631	0.163222
8.2	0.122215	0.257999	-0.059289	-0.28692	-0.150653	0.139942
8.3	0.096006	0.265739	-0.031973	-0.281148	-0.171267	0.116071
8.4	0.069157	0.270786	-0.004684	-0.273017	-0.190328	0.091752
8.5	0.041939	0.273122	0.022325	-0.262616	-0.207701	0.067133
8.6	0.014623	0.272755	0.048808	-0.250053	-0.223264	0.042366
8.7	-0.012523	0.269719	0.074527	-0.235454	-0.236909	0.017606
8.8	-0.039234	0.264074	0.099251	-0.21896	-0.248541	-0.006987
8.9	-0.065253	0.255902	0.122759	-0.20073	-0.258083	-0.031255
9	-0.090334	0.245312	0.144847	-0.180935	-0.265471	-0.055039
9.1	-0.114239	0.232431	0.165323	-0.159761	-0.27066	-0.078182
9.2	-0.136748	0.217409	0.184011	-0.137404	-0.273622	-0.100529
9.3	-0.157655	0.200414	0.200755	-0.114068	-0.274347	-0.12193
9.4	-0.176772	0.181632	0.215417	-0.089966	-0.272842	-0.14224
9.5	-0.193929	0.161264	0.227879	-0.065315	-0.269131	-0.161321
9.6	-0.208979	0.139525	0.238046	-0.040339	-0.263258	-0.179043
9.7	-0.221796	0.116639	0.245845	-0.015259	-0.255284	-0.195284
9.8	-0.232276	0.09284		0.251223	0.0097		-0.245284	-0.209932
9.9	-0.240341	0.06837		0.254153	0.034318	-0.233354	-0.222887
10	-0.245936	0.043473	0.25463		0.058379	-0.219603	-0.234062
