no of terms 1.000000 
    time 	   actual 	      RK4 
0.010000 	 0.099995 	 0.099995 
0.020000 	 0.099980 	 0.099980 
0.030000 	 0.099955 	 0.099955 
0.040000 	 0.099920 	 0.099920 
0.050000 	 0.099875 	 0.099875 
0.060000 	 0.099820 	 0.099820 
0.070000 	 0.099755 	 0.099756 
0.080000 	 0.099680 	 0.099681 
0.090000 	 0.099595 	 0.099596 
0.100000 	 0.099500 	 0.099501 
0.110000 	 0.099396 	 0.099397 
0.120000 	 0.099281 	 0.099282 
0.130000 	 0.099156 	 0.099158 
0.140000 	 0.099022 	 0.099023 
0.150000 	 0.098877 	 0.098879 
0.160000 	 0.098723 	 0.098725 
0.170000 	 0.098558 	 0.098561 
0.180000 	 0.098384 	 0.098387 
0.190000 	 0.098200 	 0.098203 
0.200000 	 0.098007 	 0.098010 
0.210000 	 0.097803 	 0.097807 
0.220000 	 0.097590 	 0.097594 
0.230000 	 0.097367 	 0.097371 
0.240000 	 0.097134 	 0.097139 
0.250000 	 0.096891 	 0.096896 
0.260000 	 0.096639 	 0.096645 
0.270000 	 0.096377 	 0.096383 
0.280000 	 0.096106 	 0.096112 
0.290000 	 0.095824 	 0.095831 
0.300000 	 0.095534 	 0.095541 
0.310000 	 0.095233 	 0.095241 
0.320000 	 0.094924 	 0.094932 
0.330000 	 0.094604 	 0.094613 
0.340000 	 0.094275 	 0.094285 
0.350000 	 0.093937 	 0.093947 
0.360000 	 0.093590 	 0.093600 
0.370000 	 0.093233 	 0.093244 
0.380000 	 0.092866 	 0.092878 
0.390000 	 0.092491 	 0.092503 
0.400000 	 0.092106 	 0.092119 
0.410000 	 0.091712 	 0.091725 
0.420000 	 0.091309 	 0.091323 
0.430000 	 0.090897 	 0.090911 
0.440000 	 0.090475 	 0.090490 
0.450000 	 0.090045 	 0.090060 
0.460000 	 0.089605 	 0.089622 
0.470000 	 0.089157 	 0.089174 
0.480000 	 0.088699 	 0.088717 
0.490000 	 0.088233 	 0.088252 
0.500000 	 0.087758 	 0.087777 
0.510000 	 0.087274 	 0.087294 
0.520000 	 0.086782 	 0.086803 
0.530000 	 0.086281 	 0.086302 
0.540000 	 0.085771 	 0.085793 
0.550000 	 0.085252 	 0.085275 
0.560000 	 0.084726 	 0.084749 
0.570000 	 0.084190 	 0.084214 
0.580000 	 0.083646 	 0.083671 
0.590000 	 0.083094 	 0.083120 
0.600000 	 0.082534 	 0.082560 
0.610000 	 0.081965 	 0.081992 
0.620000 	 0.081388 	 0.081416 
0.630000 	 0.080803 	 0.080832 
0.640000 	 0.080210 	 0.080239 
0.650000 	 0.079608 	 0.079639 
0.660000 	 0.078999 	 0.079031 
0.670000 	 0.078382 	 0.078414 
0.680000 	 0.077757 	 0.077790 
0.690000 	 0.077125 	 0.077159 
0.700000 	 0.076484 	 0.076519 
0.710000 	 0.075836 	 0.075872 
0.720000 	 0.075181 	 0.075217 
0.730000 	 0.074517 	 0.074555 
0.740000 	 0.073847 	 0.073885 
0.750000 	 0.073169 	 0.073208 
0.760000 	 0.072484 	 0.072523 
0.770000 	 0.071791 	 0.071832 
0.780000 	 0.071091 	 0.071133 
0.790000 	 0.070385 	 0.070427 
0.800000 	 0.069671 	 0.069714 
0.810000 	 0.068950 	 0.068994 
