#A 	 simpson_integration 	 Approximation 	 error
0.100000 	 6.291049 	 6.287112 	 0.062577 
0.200000 	 6.314730 	 6.298893 	 0.250790 
0.300000 	 6.354539 	 6.318528 	 0.566693 
0.400000 	 6.410976 	 6.346017 	 1.013247 
0.500000 	 6.484780 	 6.381360 	 1.594815 
0.600000 	 6.576932 	 6.424557 	 2.316813 
0.700000 	 6.688708 	 6.475608 	 3.185966 
0.800000 	 6.821689 	 6.534513 	 4.209751 
0.900000 	 6.977853 	 6.601272 	 5.396806 
1.000000 	 7.159648 	 6.675884 	 6.756808 
1.100000 	 7.370092 	 6.758351 	 8.300318 
1.200000 	 7.612886 	 6.848672 	 10.038427 
1.300000 	 7.892616 	 6.946847 	 11.982964 
1.400000 	 8.215007 	 7.052876 	 14.146443 
1.500000 	 8.587238 	 7.166759 	 16.541754 
1.600000 	 9.018408 	 7.288495 	 19.182020 
1.700000 	 9.520221 	 7.418086 	 22.080734 
1.800000 	 10.107931 	 7.555531 	 25.251465 
1.900000 	 10.801740 	 7.700830 	 28.707506 
2.000000 	 11.629018 	 7.853982 	 32.462208 
2.100000 	 12.627721 	 8.014989 	 36.528618 
2.200000 	 13.851941 	 8.183849 	 40.919117 
2.300000 	 15.381589 	 8.360563 	 45.645645 
2.400000 	 17.339733 	 8.545132 	 50.719360 
2.500000 	 19.926228 	 8.737555 	 56.150482 
2.600000 	 23.488632 	 8.937830 	 61.948273 
2.700000 	 28.689434 	 9.145961 	 68.120804 
2.799999 	 36.967007 	 9.361945 	 74.674858 
2.899999 	 52.141296 	 9.585783 	 81.615753 
2.999999 	 88.823906 	 9.817475 	 88.947258 
3.099999 	 302.145782 	 10.057021 	 96.671471 
