#upper limit 	 trapezoidal 	 simpsons 	 guass_quadrature 
0.555556 	 0.000000 	 0.000000 	 0.000000 
0.565556 	 0.000473 	 0.000473 	 0.000473 
0.575556 	 0.001352 	 0.001352 	 0.001352 
0.585555 	 0.002508 	 0.002508 	 0.002509 
0.595555 	 0.003899 	 0.003899 	 0.003900 
0.605555 	 0.005502 	 0.005502 	 0.005503 
0.615555 	 0.007301 	 0.007301 	 0.007303 
0.625555 	 0.009287 	 0.009288 	 0.009290 
0.635555 	 0.011453 	 0.011453 	 0.011456 
0.645555 	 0.013792 	 0.013792 	 0.013796 
0.655555 	 0.016301 	 0.016301 	 0.016305 
0.665555 	 0.018976 	 0.018977 	 0.018981 
0.675555 	 0.021815 	 0.021815 	 0.021820 
0.685555 	 0.024816 	 0.024816 	 0.024821 
0.695555 	 0.027976 	 0.027976 	 0.027982 
0.705555 	 0.031294 	 0.031295 	 0.031302 
0.715555 	 0.034771 	 0.034771 	 0.034779 
0.725555 	 0.038403 	 0.038404 	 0.038412 
0.735555 	 0.042192 	 0.042193 	 0.042202 
0.745555 	 0.046137 	 0.046137 	 0.046147 
0.755555 	 0.050236 	 0.050236 	 0.050247 
0.765555 	 0.054490 	 0.054490 	 0.054502 
0.775555 	 0.058899 	 0.058899 	 0.058912 
0.785555 	 0.063462 	 0.063462 	 0.063476 
0.795555 	 0.068179 	 0.068180 	 0.068194 
0.805555 	 0.073052 	 0.073052 	 0.073067 
0.815555 	 0.078078 	 0.078079 	 0.078095 
0.825555 	 0.083260 	 0.083260 	 0.083277 
0.835555 	 0.088596 	 0.088596 	 0.088614 
0.845555 	 0.094087 	 0.094087 	 0.094106 
0.855555 	 0.099733 	 0.099733 	 0.099753 
0.865555 	 0.105534 	 0.105535 	 0.105556 
0.875555 	 0.111492 	 0.111492 	 0.111514 
0.885555 	 0.117605 	 0.117605 	 0.117628 
0.895555 	 0.123874 	 0.123875 	 0.123899 
0.905555 	 0.130300 	 0.130301 	 0.130326 
