#Xi	poisson		Pe	error		gauss
0	0.000213	0.005	0.005		0.003605
1	0.00179		0.010	0.0071		0.0079523
2	0.00760		0.02	0.01		0.0158803
3	0.0214		0.025	0.0112		0.0287083
4	0.0452		0.06	0.0173		0.0469826
5	0.0764		0.06	0.0173		0.0696064
6	0.1076		0.09	0.0212		0.093356
7	0.130		0.10	0.0224		0.113349
8	0.137		0.155	0.0229		0.1245876
9	0.1289		0.14	0.0265		0.1239693
10	0.1089		0.11	0.0235		0.1116696
11	0.083		0.07	0.0187		0.0910622
12	0.0589		0.045	0.015		0.0672237
#13	0.0383		0.09	0.0212		0.0449251
14	0.0231		0.01	0.0071		0.0271793
15	0.0130		0.01	0.0071		0.0148857
16	0.00687		0.005	0.005		0.0073804
20 	0.000301	0.005	0.005		0.0001649
